in s,C1 in V,C2 in V
-7.44360E-04,3.324785E+00,2.975464E-03
-7.44344E-04,3.331498E+00,5.416870E-03
-7.44328E-04,3.326158E+00,3.433228E-03
-7.44312E-04,1.243028E+00,-2.517700E-03
-7.44296E-04,1.874249E-01,9.841919E-03
-7.44280E-04,3.041199E-02,7.400513E-03
-7.44264E-04,1.881531E-02,6.332397E-03
-7.44248E-04,1.332214E-02,3.433228E-03
-7.44232E-04,1.332214E-02,-3.433228E-03
-7.44216E-04,1.881531E-02,1.907349E-03
-7.44200E-04,2.064636E-02,-3.433228E-03
-7.44184E-04,2.018860E-02,3.433228E-03
-7.44168E-04,1.637390E-02,5.874634E-03
-7.44152E-04,1.683167E-02,7.858276E-03
-7.44136E-04,2.217224E-02,9.918213E-04
-7.44120E-04,2.064636E-02,9.231567E-03
-7.44104E-04,2.263000E-02,2.975464E-03
-7.44088E-04,2.097368E+00,2.975464E-03
-7.44072E-04,3.164415E+00,2.975464E-03
-7.44056E-04,3.310594E+00,6.790161E-03
-7.44040E-04,3.323716E+00,3.433228E-03
-7.44024E-04,3.325242E+00,-5.340576E-04
-7.44008E-04,3.335466E+00,4.959106E-03
-7.43992E-04,3.342332E+00,5.416870E-03
-7.43976E-04,3.331498E+00,7.400513E-03
-7.43960E-04,3.324785E+00,-1.907349E-03
-7.43944E-04,3.331498E+00,1.907349E-03
-7.43928E-04,3.332567E+00,5.340576E-04
-7.43912E-04,3.329057E+00,9.918213E-04
-7.43896E-04,3.332109E+00,-3.433228E-03
-7.43880E-04,3.337449E+00,2.365112E-03
-7.43864E-04,3.330125E+00,3.890991E-03
-7.43848E-04,3.332567E+00,3.433228E-03
-7.43832E-04,3.329667E+00,9.918213E-04
-7.43816E-04,3.326616E+00,5.874634E-03
-7.43800E-04,3.323716E+00,3.890991E-03
-7.43784E-04,3.326158E+00,7.858276E-03
-7.43768E-04,3.334550E+00,4.959106E-03
-7.43752E-04,3.329057E+00,1.075745E-02
-7.43736E-04,3.325700E+00,-7.629395E-05
-7.43720E-04,3.332567E+00,7.400513E-03
-7.43704E-04,3.328599E+00,2.975464E-03
-7.43688E-04,3.332567E+00,2.975464E-03
-7.43672E-04,3.336992E+00,2.975464E-03
-7.43656E-04,3.334550E+00,6.790161E-03
-7.43640E-04,3.326616E+00,4.959106E-03
-7.43624E-04,3.327684E+00,5.416870E-03
-7.43608E-04,3.329667E+00,8.316040E-03
-7.43592E-04,3.335923E+00,7.858276E-03
-7.43576E-04,3.332109E+00,1.167297E-02
-7.43560E-04,3.332567E+00,4.959106E-03
-7.43544E-04,3.329667E+00,7.858276E-03
-7.43528E-04,3.331041E+00,1.449585E-03
-7.43512E-04,3.329057E+00,8.773804E-03
-7.43496E-04,3.327684E+00,-9.918213E-04
-7.43480E-04,3.323716E+00,3.433228E-03
-7.43464E-04,3.330125E+00,8.316040E-03
-7.43448E-04,3.332567E+00,6.332397E-03
-7.43432E-04,3.327684E+00,9.918213E-04
-7.43416E-04,3.332567E+00,8.316040E-03
-7.43400E-04,3.326616E+00,6.332397E-03
-7.43384E-04,3.326616E+00,8.316040E-03
-7.43368E-04,3.327226E+00,6.332397E-03
-7.43352E-04,3.327684E+00,5.874634E-03
-7.43336E-04,3.329667E+00,8.773804E-03
-7.43320E-04,3.330583E+00,5.340576E-04
-7.43304E-04,3.330583E+00,8.773804E-03
-7.43288E-04,1.238145E+00,3.890991E-03
