clk,re,en,rst,sig_label,current,e,spike,voltage
1,0,1,0,0,0001100100000,00000010100,0,1111111111101
0,0,1,0,0,0001100100000,00000010100,0,1111111101011
1,0,1,0,0,0001100100000,00000010100,0,1111111101011
0,0,1,0,0,0001100100000,00000010100,1,0100000100110
1,0,1,0,0,0001100100000,00000010100,1,0100000100110
0,0,1,0,0,0001100100000,00000010101,1,0011111101100
1,0,1,0,0,0001100100000,00000010101,1,0011111101100
0,0,1,0,0,0001100100000,00000010110,1,0100000110110
1,0,1,0,0,0001100100000,00000010110,1,0100000110110
0,0,1,0,0,0001100100000,00000010111,1,0011111010111
1,0,1,0,0,0001100100000,00000010111,1,0011111010111
0,0,1,0,0,0001100100000,00000011000,0,1111111110110
1,0,1,0,0,0001100100000,00000011000,0,1111111110110
0,0,1,0,0,0001100100000,00000011000,0,1111111101000
1,0,1,0,0,0001100100000,00000011000,0,1111111101000
0,0,1,0,0,0001100100000,00000011000,0,1111111110011
1,0,1,0,0,0001100100000,00000011000,0,1111111110011
0,0,1,0,0,0001100100000,00000011000,0,1111111100111
1,0,1,0,0,0001100100000,00000011000,0,1111111100111
0,0,1,0,0,0001100100000,00000011000,1,0100000001001
1,0,1,0,0,0001100100000,00000011000,1,0100000001001
0,0,1,0,0,0001100100000,00000011001,1,0011111000000
1,0,1,0,0,0001100100000,00000011001,1,0011111000000
0,0,1,0,0,0001100100000,00000011010,1,0011111110110
1,0,1,0,0,0001100100000,00000011010,1,0011111110110
0,0,1,0,0,0001100100000,00000011011,1,0011110111100
1,0,1,0,0,0001100100000,00000011011,1,0011110111100
0,0,1,0,0,0001100100000,00000011100,0,1111111101110
1,0,1,0,0,0001100100000,00000011100,0,1111111101110
0,0,1,0,0,0001100100000,00000011100,0,1111111100101
1,0,1,0,0,0001100100000,00000011100,0,1111111100101
0,0,1,0,0,0001100100000,00000011100,0,1111111110000
1,0,1,0,0,0001100100000,00000011100,0,1111111110000
0,0,1,0,0,0001100100000,00000011100,0,1111111100000
1,0,1,0,0,0001100100000,00000011100,0,1111111100000
0,0,1,0,0,0001100100000,00000011100,1,0011111010111
1,0,1,0,0,0001100100000,00000011100,1,0011111010111
0,0,1,0,0,0001100100000,00000011101,1,0011110101100
1,0,1,0,0,0001100100000,00000011101,1,0011110101100
0,0,1,0,0,0001100100000,00000011110,1,0011111011111
1,0,1,0,0,0001100100000,00000011110,1,0011111011111
0,0,1,0,0,0001100100000,00000011111,1,0011110010001
1,0,1,0,0,0001100100000,00000011111,1,0011110010001
0,0,1,0,0,0001100100000,00000100000,0,1111111101100
1,0,1,0,0,0001100100000,00000100000,0,1111111101100
0,0,1,0,0,0001100100000,00000100000,0,1111111100000
1,0,1,0,0,0001100100000,00000100000,0,1111111100000
0,0,1,0,0,0001100100000,00000100000,0,1111111101101
1,0,1,0,0,0001100100000,00000100000,0,1111111101101
0,0,1,0,0,0001100100000,00000100000,0,1111111011110
1,0,1,0,0,0001100100000,00000100000,0,1111111011110
0,0,1,0,0,0001100100000,00000100000,1,0011111000111
1,0,1,0,0,0001100100000,00000100000,1,0011111000111
0,0,1,0,0,0001100100000,00000100001,1,0011110001101
1,0,1,0,0,0001100100000,00000100001,1,0011110001101
0,0,1,0,0,0001100100000,00000100010,1,0011111001011
1,0,1,0,0,0001100100000,00000100010,1,0011111001011
0,0,1,0,0,0001100100000,00000100011,1,0011110000010
1,0,1,0,0,0001100100000,00000100011,1,0011110000010
0,0,1,0,0,0001100100000,00000100100,0,1111111101001
1,0,1,0,0,0001100100000,00000100100,0,1111111101001
0,0,1,0,0,0001100100000,00000100100,0,1111111011110
1,0,1,0,0,0001100100000,00000100100,0,1111111011110
0,0,1,0,0,0001100100000,00000100100,0,1111111101010
1,0,1,0,0,0001100100000,00000100100,0,1111111101010
0,0,1,0,0,0001100100000,00000100100,0,1111111011100
1,0,1,0,0,0001100100000,00000100100,0,1111111011100
0,0,1,0,0,0001100100000,00000100100,1,0011110110100
1,0,1,0,0,0001100100000,00000100100,1,0011110110100
