clk,re,en,rst,sig_label,current,e,spike,voltage
1,0,1,0,0,0001100100000,00000111000,0,1111011000011
0,0,1,0,0,0001100100000,00000111000,0,1111010100100
1,0,1,0,0,0001100100000,00000111000,0,1111010100100
0,0,1,0,0,0001100100000,00000111000,0,1111011001000
1,0,1,0,0,0001100100000,00000111000,0,1111011001000
0,0,1,0,0,0001100100000,00000111000,0,1111010011110
1,0,1,0,0,0001100100000,00000111000,0,1111010011110
0,0,1,0,0,0001100100000,00000111000,1,0000110110111
1,0,1,0,0,0001100100000,00000111000,1,0000110110111
0,0,1,0,0,0001100100000,00000111001,1,0000101101110
1,0,1,0,0,0001100100000,00000111001,1,0000101101110
0,0,1,0,0,0001100100000,00000111010,1,0000111000100
1,0,1,0,0,0001100100000,00000111010,1,0000111000100
0,0,1,0,0,0001100100000,00000111011,1,0000101011110
1,0,1,0,0,0001100100000,00000111011,1,0000101011110
0,0,1,0,0,0001100100000,00000111100,0,1111011000011
1,0,1,0,0,0001100100000,00000111100,0,1111011000011
0,0,1,0,0,0001100100000,00000111100,0,1111010100010
1,0,1,0,0,0001100100000,00000111100,0,1111010100010
0,0,1,0,0,0001100100000,00000111100,0,1111011000111
1,0,1,0,0,0001100100000,00000111100,0,1111011000111
0,0,1,0,0,0001100100000,00000111100,0,1111010011110
1,0,1,0,0,0001100100000,00000111100,0,1111010011110
0,0,1,0,0,0001100100000,00000111100,1,0000110110101
1,0,1,0,0,0001100100000,00000111100,1,0000110110101
0,0,1,0,0,0001100100000,00000111101,1,0000101100110
1,0,1,0,0,0001100100000,00000111101,1,0000101100110
